id-int,isUpdateNow-bool,type-int,pointList-int[][],updateInterval-int
1,0,1,,
2,0,1,,
3,0,0,"100,14,50;100,20,50",40000
4,0,0,"100,15,50;100,15,50",40000
5,0,0,"100,7,50;100,7,50",80000
6,0,0,"100,65,50;100,65,50",320000
7,0,0,"100,68,50;100,68,50",320000
8,0,0,"100,71,50;100,71,50",640000
9,0,0,"100,85,10;100,87,10",2560000
10,0,0,"100,91,10;100,93,10",2560000
11,0,0,"100,99,10;100,97,10",5120000
12,0,0,"100,4,50;100,4,50",40000
13,0,0,"100,6,50;100,6,50",40000
14,0,0,"100,16,50;100,16,50",80000
15,0,0,"100,66,50;100,66,50",320000
16,0,0,"100,69,50;100,69,50",320000
17,0,0,"100,72,50;100,72,50",640000
18,0,0,"100,85,10;100,89,10",2560000
19,0,0,"100,95,10;100,91,10",2560000
20,0,0,"100,101,10;100,97,10",5120000
21,0,0,"100,8,50;100,42,50",40000
22,0,0,"100,9,50;100,9,50",40000
23,0,0,"100,11,50;100,11,50",80000
24,0,0,"100,67,50;100,67,50",320000
25,0,0,"100,70,50;100,70,50",320000
26,0,0,"100,73,50;100,73,50",640000
27,0,0,"100,87,10;100,89,10",2560000
28,0,0,"100,93,10;100,95,10",2560000
29,0,0,"100,99,10;100,101,10",5120000
30,1,0,"100,14,1;100,20,0;100,4,1;100,4,0;100,8,0;100,42,1",86400000
31,1,0,"100,15,1;100,15,0;100,6,1;100,6,0;100,9,1;100,9,0",86400000
32,1,0,"100,7,0;100,7,1;100,16,0;100,16,1;100,11,1;100,11,0",86400000
33,1,0,"100,65,1;100,65,0;100,66,1;100,66,0;100,67,0;100,67,1",86400000
34,1,0,"100,68,1;100,68,0;100,69,1;100,69,0;100,70,1;100,70,0",86400000
35,1,0,"100,71,0;100,71,1;100,72,0;100,72,1;100,73,0;100,73,1",86400000
36,1,0,"100,85,1;100,87,1;100,87,0;100,89,1;100,89,0;100,85,0",86400000
37,1,0,"100,91,0;100,93,0;100,91,1;100,95,1;100,95,0;100,93,1",86400000
38,1,0,"100,99,0;100,97,0;100,97,1;100,101,1;100,101,0;100,99,1",86400000
39,1,0,,86400000
40,1,0,,86400000
41,1,0,,86400000
42,1,0,,86400000
43,1,0,,86400000
44,1,0,,86400000
45,1,0,,86400000
46,1,0,,86400000
47,1,0,,86400000
48,1,0,,86400000
49,1,0,,86400000
50,1,0,,86400000
51,1,0,,86400000
52,1,0,,86400000
53,1,0,,86400000
54,1,0,,86400000
55,1,0,,86400000
56,1,0,,86400000
57,1,0,"100,14,8;100,20,8;100,8,8;100,42,8;100,4,8;100,4,8;100,103,4",86400000
58,1,0,"100,15,8;100,15,8;100,6,8;100,6,8;100,9,8;100,9,8;100,103,4",86400000
59,1,0,"100,7,8;100,7,8;100,16,8;100,16,8;100,11,8;100,11,8;100,103,4",86400000
60,1,0,"100,65,8;100,65,8;100,66,8;100,66,8;100,67,8;100,67,8;100,103,4",86400000
61,1,0,"100,68,8;100,68,8;100,69,8;100,69,8;100,70,8;100,70,8;100,103,4",86400000
62,1,0,"100,71,8;100,71,8;100,72,8;100,72,8;100,73,8;100,73,8;100,103,4",86400000
63,1,0,"100,85,8;100,86,8;100,87,8;100,88,8;100,89,8;100,90,8;100,103,4",86400000
64,1,0,"100,91,8;100,92,8;100,93,8;100,94,8;100,95,8;100,96,8;100,103,4",86400000
65,1,0,"100,97,8;100,98,8;100,99,8;100,100,8;100,101,8;100,102,8;100,103,4",86400000
66,1,0,,86400000
67,1,0,,86400000
68,1,0,,86400000
69,1,0,,86400000
70,1,0,,86400000
71,1,0,,86400000
72,1,0,,86400000
73,1,0,,86400000
74,1,0,,86400000
75,1,0,,86400000
76,1,0,,86400000
77,1,0,,86400000
78,1,0,,86400000
79,1,0,,86400000
80,1,0,,86400000
81,1,0,,86400000
82,1,0,,86400000
83,1,0,,86400000
84,1,0,"100,19,3;100,20,3;100,21,3;100,22,3;100,24,3;100,25,3;100,26,3;100,27,3;100,28,3;100,30,3;100,31,3;100,32,3",320000
85,1,0,"100,83,5;100,29,5",320000
86,1,0,"100,14,8;100,8,8;100,4,8",86400000
88,1,0,"100,15,8;100,6,8;100,9,8",86400000
89,1,0,"100,11,8;100,7,8;100,37,8",86400000
90,1,0,"100,38,8;100,44,8;100,16,8",86400000
91,0,1,,
